# Generated by scripts/build_other_language_place_names.py. Do not edit by hand.
# Names from Wikipedia (CC BY-SA 4.0):
#   https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
#   https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
other_language_place_name;language;meteoswiss_point_name;source
Duin;rm;Duvin;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Guin;fr;Düdingen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Nossadunaun;rm;Einsiedeln;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Dialma;rm;Elm;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Cerlier;fr;Erlach;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Aragnon;fr;Ernen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Erginvillier;fr;Erschwil;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Leubringen;de;Evilard;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Fellers;de;Falera;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Pfauen;de;Faoug;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Favugn;rm;Felsberg;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Baumettes;fr;Ferenbalm;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Fadrein;rm;Fideris;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Filisour;rm;Filisur;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Grasse Poule;fr;Finsterhennen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
